id;descripcion;provincia_id
1;CARHUE;2
2;COLONIA SAN MIGUEL ARCANGEL;2
3;DELFIN HUERGO;2
4;ESPARTILLAR;2
5;ESTEBAN AGUSTIN GASCON;2
6;LA PALA;2
7;MAZA;2
8;RIVERA;2
9;THAMES;2
10;VILLA MARGARITA;2
11;YUTUYACO;2
12;COLONIA LAPIN;2
13;AVESTRUZ;2
14;LAGO EPECUEN;2
15;LEUBUCO;2
16;ARTURO VATTEONE;2
17;TRES LAGUNAS;2
18;CANONIGO GORRITI;2
19;ADOLFO GONZALES CHAVES;2
20;DE LA GARMA;2
21;JUAN E. BARRA;2
22;VASQUEZ;2
23;ALZAGA;2
24;ALBERTI;2
25;CORONEL SEGUI;2
26;MECHITA;2
27;PLA;2
28;VILLA GRISOLIA;2
29;VILLA MARIA;2
30;VILLA ORTIZ;2
31;BAUDRIX;2
32;PRESIDENTE QUINTANA;2
33;LARREA;2
34;AVELLANEDA;2
35;AYACUCHO;2
36;LA CONSTANCIA;2
37;SOLANET;2
38;UDAQUIOLA;2
39;CANGALLO;2
40;EL PORVENIR;2
41;LA BLANQUEADA;2
42;SAN IGNACIO;2
43;LA PROTEGIDA;2
44;SAN LAUREANO;2
45;LANGUEYU;2
46;FAIR;2
47;ARIEL;2
48;AZUL;2
49;CACHARI;2
50;CHILLAR;2
51;16 DE JULIO;2
52;PABLO ACOSTA;2
53;SHAW;2
54;ARROYO DE LOS HUESOS;2
55;LA PROTEGIDA;2
56;MARTIN FIERRO;2
57;PARISH;2
58;BAHIA BLANCA;2
59;CABILDO;2
60;GENERAL DANIEL CERRI;2
61;PUERTO GALVAN;2
62;ALDEA ROMANA;2
63;VILLA OLGA;2
64;ALFEREZ SAN MARTIN;2
65;COCHRANE;2
66;BALCARCE;2
67;LOS PINOS;2
68;NAPALEOFU;2
69;RAMOS OTERO;2
70;SAN AGUSTIN;2
71;VILLA LAGUNA LA BRAVA;2
72;BOSCH;2
73;EL VERANO;2
74;BARADERO;2
75;IRINEO PORTELA;2
76;SANTA COLOMA;2
77;VILLA ALSINA;2
78;ISLA LOS LAURELES;2
79;ARRECIFES;2
80;TODD;2
81;VI¥A;2
82;BARKER;2
83;BENITO JUAREZ;2
84;LOPEZ;2
85;TEDIN URIBURU;2
86;VILLA CACIQUE;2
87;CORONEL RODOLFO BUNGE;2
88;BERAZATEGUI;2
89;BERISSO;2
90;LOS TALAS;2
91;ISLA PAULINO;2
92;HALE;2
93;JUAN F. IBARRA;2
94;MARIANO UNZUE;2
95;PAULA;2
96;PIROVANO;2
97;SAN CARLOS DE BOLIVAR;2
98;URDAMPILLETA;2
99;VILLA LYNCH PUEYRREDON;2
100;VILLA SANZ;2
101;EL PORVENIR;2
102;VALLIMANCA;2
103;BRAGADO;2
104;COMODORO PY;2
105;GENERAL O BRIEN;2
106;IRALA;2
107;LA LIMPIA;2
108;MAXIMO FERNANDEZ;2
109;MECHITA;2
110;OLASCOAGA;2
111;WARNES;2
112;ASAMBLEA;2
113;ALTAMIRANO;2
114;BARRIO LAS GOLONDRINAS;2
115;BARRIO LOS BOSQUECITOS;2
116;BARRIO PARQUE LAS ACACIAS;2
117;CORONEL BRANDSEN;2
118;GOMEZ;2
119;JEPPENER;2
120;OLIDEN;2
121;SAMBOROMBON;2
122;GOBERNADOR OBLIGADO;2
123;ALTO LOS CARDALES;2
124;BARRIO LOS PIONEROS;2
125;CAMPANA;2
126;CHACRAS DEL RIO LUJAN;2
127;BLONDEAU;2
128;ALEJANDRO PETION;2
129;BARRIO EL TALADRO;2
130;CAÑUELAS;2
131;GOBERNADOR UDAONDO;2
132;MAXIMO PAZ;2
133;SANTA ROSA;2
134;URIBELARREA;2
135;VICENTE CASARES;2
136;CAPITAN SARMIENTO;2
137;LA LUISA;2
138;EL DESCANSO;2
139;BELLOCQ;2
140;CADRET;2
141;CARLOS CASARES;2
142;COLONIA MAURICIO;2
143;HORTENSIA;2
144;LA SOFIA;2
145;MAURICIO HIRSCH;2
146;MOCTEZUMA;2
147;ORDOQUI;2
148;SMITH;2
149;CENTENARIO;2
150;SANTO TOMAS;2
151;LA DORITA;2
152;CARLOS TEJEDOR;2
153;COLONIA SERE;2
154;CURARU;2
155;TIMOTE;2
156;ENCINA;2
157;TRES ALGARROBOS;2
158;HEREFORD;2
159;HUSARES;2
160;DRYSDALE;2
161;SANTA INES;2
162;ESTEBAN DE LUCA;2
163;CARMEN DE ARECO;2
164;PUEBLO GOUIN;2
165;TRES SARGENTOS;2
166;KENNY;2
167;CASTELLI;2
168;CENTRO GUERRERO;2
169;CERRO DE LA GLORIA (CANAL 15);2
170;COLON;2
171;EL ARBOLITO;2
172;PEARSON;2
173;SARASA;2
174;BAJO HONDO;2
175;BALNEARIO PEHUEN CO;2
176;PUNTA ALTA;2
177;VILLA DEL MAR;2
178;VILLA GENERAL ARIAS;2
179;CALDERON;2
180;APARICIO;2
181;BALNEARIO MARISOL;2
182;CORONEL DORREGO;2
183;EL PERDIDO;2
184;FARO;2
185;IRENE;2
186;ORIENTE;2
187;SAN ROMAN;2
188;EL ZORRO;2
189;GIL;2
190;NICOLAS DESCALZI;2
191;ZUBIARRE;2
192;CALVO;2
193;CORONEL FALCON;2
194;EL DIVISORIO;2
195;EL PENSAMIENTO;2
196;INDIO RICO;2
197;LARTIGAU;2
198;CHELFORO;2
199;KRABBE;2
200;LAS MOSTAZAS;2
201;PILLAHUINCO;2
202;RESERVA;2
203;CASCADAS;2
204;CORONEL SUAREZ;2
205;CURA MALAL;2
206;D ORBIGNY;2
207;HUANGUELEN;2
208;PASMAN;2
209;SAN JOSE;2
210;SANTA MARIA;2
211;SANTA TRINIDAD;2
212;VILLA LA ARCADIA;2
213;LA PRIMAVERA;2
214;OMBU;2
215;CASTILLA;2
216;CHACABUCO;2
217;LOS ANGELES;2
218;O HIGGINS;2
219;RAWSON;2
220;CUCHA CUCHA;2
221;COLIQUEO;2
222;SAN PATRICIO;2
223;INGENIERO SILVEYRA;2
224;MEMBRILLAR;2
225;CHASCOMUS;2
226;MANUEL J. COBO;2
227;VILLA PARQUE GIRADO;2
228;MONASTERIO;2
229;ADELA;2
230;ATILIO PESSAGNO;2
231;EL DESTINO;2
232;LA HORQUETA;2
233;DON CIPRIANO;2
234;LIBRES DEL SUD;2
235;GANDARA;2
236;CHIVILCOY;2
237;EMILIO AYARZA;2
238;GOROSTIAGA;2
239;LA RICA;2
240;MOQUEHUA;2
241;RAMON BIAUS;2
242;SAN SEBASTIAN;2
243;INDACOCHEA;2
244;BENITEZ;2
245;HENRY BELL;2
246;ANDANT;2
247;ARBOLEDAS;2
248;DAIREAUX;2
249;LA LARGA;2
250;LA MANUELA;2
251;SALAZAR;2
252;LOUGE;2
253;LURO;2
254;MASUREL;2
255;ENRIQUE LAVALLE;2
256;MOURAS;2
257;LA COPETA;2
258;DOLORES;2
259;SEVIGNE;2
260;ENSENADA;2
261;ARROYO DE LA CRUZ;2
262;CAPILLA DEL SE¥OR;2
263;DIEGO GAYNOR;2
264;LOS CARDALES;2
265;PARADA ORLANDO;2
266;ETCHEGOYEN;2
267;GOBERNADOR ANDONAEGUI;2
268;ESTACION LA LATA;2
269;FLORENCIO VARELA;2
270;LA CAPILLA;2
271;BLAQUIER;2
272;FLORENTINO AMEGHINO;2
273;PORVENIR;2
274;COMANDANTE NICANOR OTAMENDI;2
275;MAR DEL SUR;2
276;MECHONGUE;2
277;MIRAMAR;2
278;SAN JOSE DE OTAMENDI;2
279;LAS PIEDRITAS;2
280;GENERAL ALVEAR;2
281;SANTA ISABEL;2
282;EL PARCHE;2
283;EMMA;2
284;ARRIBE¥OS;2
285;ASCENSION;2
286;ESTACION ARENALES;2
287;FERRE;2
288;GENERAL ARENALES;2
289;LA ANGELITA;2
290;LA TRINIDAD;2
291;LA PINTA;2
292;HAM;2
293;DELGADO;2
294;GENERAL BELGRANO;2
295;GORCHS;2
296;CHAS;2
297;NEWTON;2
298;GENERAL GUIDO;2
299;LABARDEN;2
300;GENERAL JUAN MADARIAGA;2
301;INVERNADAS;2
302;MACEDO;2
303;GENERAL LA MADRID;2
304;LA COLINA;2
305;LAS MARTINETAS;2
306;LIBANO;2
307;PONTAUT;2
308;RAULET;2
309;GENERAL HORNOS;2
310;GENERAL LAS HERAS;2
311;LA CHOZA;2
312;LOZANO;2
313;PLOMER;2
314;VILLARS;2
315;ENRIQUE FYNN;2
316;SPERATTI;2
317;GENERAL LAVALLE;2
318;PAVON;2
319;LA TABLADA;2
320;BARRIO RIO SALADO;2
321;LOMA VERDE;2
322;RANCHOS;2
323;VILLANUEVA;2
324;ALEGRE;2
325;COLONIA SAN RICARDO;2
326;GENERAL PINTO;2
327;GERMANIA;2
328;VILLA FRANCIA;2
329;VILLA ROTH;2
330;DUSSAUD;2
331;DOS HERMANOS;2
332;EL PEREGRINO;2
333;GUNTHER;2
334;PAZOS KANKI;2
335;LOS CALLEJONES;2
336;BARRIO COLINAS VERDES;2
337;BARRIO EL BOQUERON;2
338;BARRIO EL CASAL;2
339;BARRIO EL COYUNCO;2
340;BARRIO LA GLORIA;2
341;BARRIO SANTA  PAULA;2
342;BATAN;2
343;CHAPADMALAL;2
